createdAt,amount,originRate
2015-03-21T20:04:49.902Z,1.00,1.00
2015-03-21T20:04:44.227Z,1.00,1.00
2015-03-21T20:04:37.555Z,1.00,1.00
2015-03-21T20:04:31.765Z,1.00,1.00
2015-03-21T20:04:21.008Z,1.00,1.00
2015-03-21T20:04:14.867Z,1.00,1.00
2015-03-21T20:04:09.710Z,1.00,1.00
2015-03-21T20:04:03.648Z,1.00,1.00
2015-03-21T20:03:57.826Z,1.00,1.00
2015-03-21T20:03:52.175Z,1.00,1.00
2015-03-21T20:03:47.308Z,1.00,1.00
2015-03-21T20:03:42.495Z,1.00,1.00
2015-03-21T20:03:37.058Z,1.00,1.00
2015-03-21T20:03:31.444Z,1.00,1.00
2015-03-21T20:03:19.454Z,1.00,1.00
2015-03-21T20:03:13.698Z,1.00,1.00
2015-03-21T20:03:08.339Z,1.00,1.00
2015-03-21T20:02:59.080Z,1.00,1.00
2015-03-21T20:02:50.602Z,1.00,1.00
2015-03-21T20:02:43.099Z,1.00,1.00
2015-03-21T20:02:37.579Z,1.00,1.00
2015-03-21T20:02:31.989Z,0.05766514,17.34150
2015-03-21T20:02:25.763Z,1.00,1.00
2015-03-21T20:02:17.676Z,1.00,1.00
2015-03-21T20:02:10.013Z,1.00,1.00
2015-03-21T20:02:04.724Z,1.00,1.00
2015-03-21T20:01:52.462Z,1.00,1.00
2015-03-21T20:01:24.900Z,1.00,1.00
2015-03-21T20:01:17.660Z,1.00,1.00
2015-03-21T20:01:11.560Z,1.00,1.00
2015-03-21T20:01:06.996Z,1.00,1.00
2015-03-21T20:01:00.864Z,1.00,1.00
2015-03-21T20:00:50.253Z,1.00,1.00
2015-03-21T20:00:45.596Z,1.00,1.00
2015-03-21T20:00:35.347Z,1.00,1.00
2015-03-21T20:00:28.284Z,1.00,1.00
2015-03-21T20:00:19.445Z,1.00,1.00
2015-03-21T20:00:09.745Z,1.00,1.00
2015-03-21T19:59:58.217Z,1.00,1.00
2015-03-21T19:59:52.529Z,1.00,1.00
2015-03-21T19:59:47.342Z,1.00,1.00
2015-03-21T19:59:33.423Z,1.00,1.00
2015-03-21T19:59:23.809Z,1.00,1.00
2015-03-21T19:59:15.544Z,1.00,1.00
2015-03-21T19:59:05.334Z,1.00,1.00
2015-03-21T19:58:52.304Z,1.00,1.00
2015-03-21T19:58:45.966Z,1.00,1.00
2015-03-21T19:58:33.446Z,1.00,1.00
2015-03-21T19:58:24.419Z,1.00,1.00
2015-03-21T19:58:14.566Z,1.00,1.00
2015-03-21T19:58:08.248Z,1.00,1.00
2015-03-21T19:58:03.358Z,1.00,1.00
2015-03-21T19:57:56.544Z,1.00,1.00
2015-03-21T19:57:50.887Z,1.00,1.00
2015-03-21T19:57:44.770Z,1.00,1.00
2015-03-21T19:57:39.351Z,1.00,1.00
2015-03-21T19:57:29.072Z,1.00,1.00
2015-03-21T19:57:18.335Z,1.00,1.00
2015-03-21T19:57:10.214Z,1.00,1.00
2015-03-21T19:57:04.972Z,1.00,1.00
2015-03-21T19:56:58.863Z,1.00,1.00
2015-03-21T19:56:51.238Z,1.00,1.00
2015-03-21T19:56:44.833Z,1.00,1.00
2015-03-21T19:56:38.277Z,1.00,1.00
2015-03-21T19:56:32.100Z,1.00,1.00
2015-03-21T19:56:26.077Z,1.00,1.00
2015-03-21T19:56:15.610Z,1.00,1.00
2015-03-21T19:56:06.677Z,1.00,1.00
